ANO;MES;FONTE DOS DADOS;SATELITE;TOTAL CENAS UNICAS;FATOR DISTRIBUICAO;TOTAL GERAL
2015;10;CATALOGO;AQUA;80;1;80
2015;10;CATALOGO;CBERS2;380;1;380
2015;10;CATALOGO;CBERS2B;1087;1;1087
2015;10;CATALOGO;CBERS4;289;1;289
2015;10;CATALOGO;LANDSAT-1;312;1;312
2015;10;CATALOGO;LANDSAT-2;152;1;152
2015;10;CATALOGO;LANDSAT-3;79;1;79
2015;10;CATALOGO;LANDSAT-5;7712;1;7712
2015;10;CATALOGO;LANDSAT-7;778;1;778
2015;10;CATALOGO;LANDSAT-8;4298;1;4298
2015;10;CATALOGO;RAPIDEYE-1;2;1;2
2015;10;CATALOGO;RESOURCESAT-1;500;1;500
2015;10;CATALOGO;RESOURCESAT-2;2360;1;2360
2015;10;CATALOGO;S-NPP;54;1;54
2015;10;CATALOGO;TERRA;297;1;297
2015;10;CATALOGO;UK-DMC-2;34;1;34
2015;11;CATALOGO;AQUA;102;1;102
2015;11;CATALOGO;CBERS2;290;1;290
2015;11;CATALOGO;CBERS2B;1559;1;1559
2015;11;CATALOGO;CBERS4;361;1;361
2015;11;CATALOGO;LANDSAT-1;238;1;238
2015;11;CATALOGO;LANDSAT-2;144;1;144
2015;11;CATALOGO;LANDSAT-3;105;1;105
2015;11;CATALOGO;LANDSAT-5;7833;1;7833
2015;11;CATALOGO;LANDSAT-7;826;1;826
2015;11;CATALOGO;LANDSAT-8;4521;1;4521
2015;11;CATALOGO;RAPIDEYE-1;163;1;163
2015;11;CATALOGO;RAPIDEYE-2;175;1;175
2015;11;CATALOGO;RAPIDEYE-3;138;1;138
2015;11;CATALOGO;RAPIDEYE-4;172;1;172
2015;11;CATALOGO;RAPIDEYE-5;249;1;249
2015;11;CATALOGO;RESOURCESAT-1;516;1;516
2015;11;CATALOGO;RESOURCESAT-2;2152;1;2152
2015;11;CATALOGO;S-NPP;49;1;49
2015;11;CATALOGO;TERRA;274;1;274
2015;11;CATALOGO;UK-DMC-2;7;1;7
2015;12;CATALOGO;AQUA;56;1;56
2015;12;CATALOGO;CBERS2;138;1;138
2015;12;CATALOGO;CBERS2B;633;1;633
2015;12;CATALOGO;CBERS4;99;1;99
2015;12;CATALOGO;LANDSAT-1;174;1;174
2015;12;CATALOGO;LANDSAT-2;101;1;101
2015;12;CATALOGO;LANDSAT-3;31;1;31
2015;12;CATALOGO;LANDSAT-5;3634;1;3634
2015;12;CATALOGO;LANDSAT-7;394;1;394
2015;12;CATALOGO;LANDSAT-8;2584;1;2584
2015;12;CATALOGO;RAPIDEYE-1;3;1;3
2015;12;CATALOGO;RAPIDEYE-2;5;1;5
2015;12;CATALOGO;RAPIDEYE-3;2;1;2
2015;12;CATALOGO;RAPIDEYE-4;2;1;2
2015;12;CATALOGO;RAPIDEYE-5;1;1;1
2015;12;CATALOGO;RESOURCESAT-1;433;1;433
2015;12;CATALOGO;RESOURCESAT-2;1841;1;1841
2015;12;CATALOGO;S-NPP;49;1;49
2015;12;CATALOGO;TERRA;175;1;175
2015;12;CATALOGO;UK-DMC-2;5;1;5
2015;10;L0 - ACESSO DIRETO;AQUA;180;2;360
2015;11;L0 - ACESSO DIRETO;AQUA;168;2;336
2015;12;L0 - ACESSO DIRETO;AQUA;185;2;370
2015;10;L0 - ACESSO DIRETO;TERRA;196;2;392
2015;11;L0 - ACESSO DIRETO;TERRA;189;2;378
2015;12;L0 - ACESSO DIRETO;TERRA;200;2;400
2015;10;L0 - ACESSO DIRETO;S-NPP;209;2;418
2015;11;L0 - ACESSO DIRETO;S-NPP;203;2;406
2015;12;L0 - ACESSO DIRETO;S-NPP;219;2;438
2015;10;L0 - ACESSO DIRETO;NOAA-15;234;4;936
2015;11;L0 - ACESSO DIRETO;NOAA-15;241;4;964
2015;12;L0 - ACESSO DIRETO;NOAA-15;231;4;924
2015;10;L0 - ACESSO DIRETO;NOAA-18;392;4;1568
2015;11;L0 - ACESSO DIRETO;NOAA-18;391;4;1564
2015;12;L0 - ACESSO DIRETO;NOAA-18;392;4;1568
2015;10;L0 - ACESSO DIRETO;NOAA-19;415;4;1660
2015;11;L0 - ACESSO DIRETO;NOAA-19;408;4;1632
2015;12;L0 - ACESSO DIRETO;NOAA-19;420;4;1680
2015;10;L0 - ACESSO DIRETO;GOES-13;10823;2;21646
2015;11;L0 - ACESSO DIRETO;GOES-13;10235;2;20470
2015;12;L0 - ACESSO DIRETO;GOES-13;10572;2;21144
2015;10;L0 - ACESSO DIRETO;METOP-B;217;2;434
2015;11;L0 - ACESSO DIRETO;METOP-B;210;2;420
2015;12;L0 - ACESSO DIRETO;METOP-B;205;2;410
2015;10;L0 - ACESSO DIRETO;METEOSAT;11098;1;11098
2015;11;L0 - ACESSO DIRETO;METEOSAT;33909;1;33909
2015;12;L0 - ACESSO DIRETO;METEOSAT;34980;1;34980
